  can I get a link for giveaway/discord. Won't let me use my discord account via the pinned tweet link. Need link for app : ),"[0.5, 1.0]","[0.0, 0.881, 0.119]",2
 Asean discord blocks issuance of joint statement on sea feud  ,"[0.0, 0.0]","[0.0, 0.5, 0.5]",1
 I'm paranoid this discord app for me tonight.,"[0.0, 0.0]","[0.0, 0.539, 0.461]",1
  Discord is nice App because it can display during play Unity. It makes me looks as if I do much work.,"[0.4, 0.6]","[0.209, 0.683, 0.108]",3
  Please said me Discord  work on  app !,"[0.0, 0.0]","[0.223, 0.486, 0.291]",2
" "" &lt;3 i can't get enough of you discord","[0.0, 0.5]","[0.0, 0.69, 0.31]",2
  Discord is such and amazing app with a great team behind it!,"[0.22500000000000003, 0.7124999999999999]","[0.434, 0.423, 0.143]",4
 Made a discord its thedrnom (what else what it be) don't really know how this app works so yeah,"[-0.1, 0.2]","[0.133, 0.742, 0.125]",2
" "" Found the conflict: The M;K sharing app """"Synergy"""" is conflicting with Discord. Cant use Discord with Synergy in use.""","[0.0, 0.0]","[0.103, 0.515, 0.382]",1
  i didn't know until last month while i was writing that discord app lol,"[0.4, 0.3833333333333333]","[0.181, 0.645, 0.174]",2
 a worse thought: what if the discord app people saw you tweeting on your porn account about porn games because they termsearch ; yr unlocked,"[-0.4, 0.6]","[0.0, 0.784, 0.216]",1
  Add our new way to connect.  OfficialJoin up now. Its a app! ,"[0.17045454545454544, 0.45454545454545453]","[0.0, 1.0, 0.0]",3
  everytime i open your app it loads into just a blank discord page and will not load resorting in me needing to reinstall it,"[0.0, 0.25]","[0.0, 0.886, 0.114]",1
  Also downloaded the Discord app. I REALLY wanna be in this tournament !!,"[0.3125, 0.2]","[0.0, 0.77, 0.23]",2
  Instant invites in browser never open my discord app. Any way to fix this?,"[0.0, 0.5833333333333333]","[0.148, 0.852, 0.0]",1
 Anyone want to talk on the Discord app?,"[0.0, 0.0]","[0.13, 0.6, 0.27]",1
  on the mobile app discord :/ I could use my plantronics headset in discord now I can't hear any audio from my friends it,"[-0.25, 1.0]","[0.107, 0.623, 0.27]",1
" ""in the suros discord and app joins and the first thing he says is","[0.25, 0.3333333333333333]","[0.0, 0.828, 0.172]",2
 My friends in REZOHouse! Download this app and start LFGing with your specific clan! Might be easier than Discord  ,"[0.0, 0.125]","[0.257, 0.635, 0.107]",2
  My friends in REZOHouse! Download this app and start LFGing with your specific clan! Might be easier than Discord  https:,"[0.0, 0.125]","[0.248, 0.649, 0.103]",2
" "" nah I have the discord app. If I clicked onto my chrome","[0.0, 0.0]","[0.0, 0.661, 0.339]",1
 Well there is even the discord app.,"[0.0, 0.0]","[0.214, 0.51, 0.276]",1
 Do people actually use Discord app? Bc -100% oficial mexico does lol,"[0.4, 0.39999999999999997]","[0.181, 0.645, 0.174]",2
" ""everyone is telling me """"Oh I use Telegram. Do you Telegram","[0.0, 0.0]","[0.0, 1.0, 0.0]",3
  Anytime&lt;3 And bringing the app to console is an end game goal of ours  Vote it up at ,"[-0.4, 0.4]","[0.0, 1.0, 0.0]",1
 i think my discord app is bugged or something cus it shows everyone is offline no matter what UNLESS im in a channel with them,"[0.0, 0.0]","[0.042, 0.717, 0.242]",1
" "" You mean viewing Twitch in app? Not atm","[-0.3125, 0.6875]","[0.0, 1.0, 0.0]",2
  Discord is a blive and textchat app. For pc and mobilephone. It's quite good.,"[0.7, 0.6000000000000001]","[0.189, 0.651, 0.16]",1
 Hammer ; Chisel Inc.Discord - Chat for Gamers ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",1
" "" I know","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
  when you decline two times in a row and won't hop on discord when you know I have twitter app uninstalled it's my fault?,"[0.0, 0.0]","[0.09, 0.801, 0.108]",1
" "" no","[0.0, 0.0]","[0.0, 0.0, 1.0]",2
  can you get discord? skype lags my comp. discord has a phone app too!,"[0.0, 0.0]","[0.0, 0.55, 0.45]",1
" "" im the manager of Gankstars. Do you have skype","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
  I'm on discord. No clue how to add via the app.,"[0.0, 0.0]","[0.0, 0.647, 0.353]",1
  Come talk with me discord app made from  let's talk and get fun yeah!  via ,"[0.375, 0.2]","[0.283, 0.586, 0.132]",1
  discord keeps disconnecting me for no reason on windows app and browser version?  Any solutions?,"[0.0, 0.0]","[0.09, 0.633, 0.277]",1
 Discord also has a mobile app!,"[0.0, 0.0]","[0.0, 0.572, 0.428]",3
  we just set up a FatT discord so I think I'll actually be using the app regularly and :o),"[0.016666666666666666, 0.3923076923076923]","[0.149, 0.721, 0.13]",2
 are you ever on nadias blog for three hours backreading posts and then tumblr app crashes and you scream so loud your brother asks whats up,"[0.1, 0.8]","[0.0, 0.903, 0.097]",1
" "" Hey","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
  check discord dms with the app,"[0.0, 0.0]","[0.0, 0.649, 0.351]",2
" "" having problems connecting to discord","[0.0, 0.0]","[0.0, 0.357, 0.643]",1
 Discord app is so awesome,"[1.0, 1.0]","[0.479, 0.274, 0.247]",1
" "" I have a dream","[0.0, 0.0]","[0.667, 0.333, 0.0]",3
" ""Tired to juggle between  app?  works with what'sapp","[-0.4, 0.7]","[0.0, 0.707, 0.293]",2
  but good looks on that discord app. Really useful app,"[0.5, 0.30000000000000004]","[0.436, 0.375, 0.19]",3
 r/nepal chatroom - Discord app?,"[0.0, 0.0]","[0.0, 0.526, 0.474]",1
 I wonder if I will be able to use the bluetooth on the discord Mobile App.,"[0.5, 0.625]","[0.0, 0.828, 0.172]",3
  ain't the ios discord app built in react-native?,"[0.0, 0.0]","[0.244, 0.756, 0.0]",1
ain't the ios discord app built in react-native?,"[0.0, 0.0]","[0.244, 0.756, 0.0]",1
  will you do a discord jam with subscribers and fans because that would be awesome discord is a free app for gamers communication,"[0.7, 0.9]","[0.248, 0.57, 0.181]",3
" "" Miss you man. You can find us on the Discord voice app now. Also","[0.0, 0.0]","[0.0, 0.736, 0.264]",3
" "" I uninstalled the app from my computer (Windows)","[0.0, 0.0]","[0.0, 1.0, 0.0]",1
 Come and chill with us on: ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
  Come and chill with us on: ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
" "" Hey guys","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
  I don't have discord app.,"[0.0, 0.0]","[0.429, 0.571, 0.0]",1
  Do you have Discord app? Me and GermanShyBoy are having a great talkCome join,"[0.8, 0.75]","[0.332, 0.526, 0.142]",2
you can just go to the discord channel or download the app and go to ,"[0.0, 0.0]","[0.0, 0.838, 0.162]",2
" ""Y'know i was gonna say that i would do like","[0.0, 0.0]","[0.263, 0.737, 0.0]",1
  is discord an app?,"[0.0, 0.0]","[0.0, 0.526, 0.474]",1
  You should get a Discord! Okay so Discordis the only cross-platform voice and text chat app designed for gamers!,"[0.25, 0.75]","[0.09, 0.755, 0.155]",2
  When trying to launch Discord the app or through the browser it is causing my system to seize up. Help?,"[0.0, 0.0]","[0.115, 0.769, 0.115]",1
  discord is definitely a little better then team speak and there's a app for that check out don't be crazy lazy peeps,"[-0.134375, 0.725]","[0.348, 0.552, 0.099]",1
" "";restart other computer;discord app opens automatically;little box says """"Ensuring Dankest Memes""""ayy lmao""","[0.2375, 0.6875]","[0.262, 0.738, 0.0]",1
 Would be nice if the mobile Discord app could let you add comments to a pic when you upload it.,"[0.6, 1.0]","[0.124, 0.756, 0.12]",2
" ""  &lt;- if you are using the app","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
  discord is an app that lets people talk about different topics under different tabs and since this is TG (part 1),"[0.0, 0.6]","[0.0, 0.881, 0.119]",1
 Check out our Discord and Reddit page guys!,"[0.0, 0.0]","[0.0, 0.701, 0.299]",3
 but she could still get discord mobile app. Go set it up caz!,"[0.0, 0.0]","[0.0, 0.757, 0.243]",1
  I cannot connect to discord desktop app. It just keeps trying to connect and disconnects,"[0.0, 0.0]","[0.148, 0.852, 0.0]",1
 there's a discord mobile app? Hit me up with this!?,"[0.0, 0.0]","[0.0, 0.705, 0.295]",2
" ""Yes","[0.0, 0.0]","[1.0, 0.0, 0.0]",2
" ""just joined my  company on ","[0.0, 0.0]","[0.0, 1.0, 0.0]",1
" ""Hello  ! My PC can't detect my voice on Discord","[0.0, 0.0]","[0.0, 0.728, 0.272]",3
" "" You'r welcome ! nice app = shared. If you want","[0.8, 0.95]","[0.71, 0.29, 0.0]",3
  you can easily resign up with alt email. It's only ever used once via the app. can use Better Discord too 4 twitch/btv/ffz emotes.,"[0.3111111111111111, 0.7777777777777778]","[0.18, 0.646, 0.173]",3
 We're midway 16 and there is still no discord app on Linux :(,"[-0.75, 1.0]","[0.0, 0.562, 0.438]",1
  I cant hear my friends but they can hear me? I use the discord app and it worked fine yesterday :/,"[0.08333333333333334, 0.75]","[0.086, 0.585, 0.329]",2
  on skype mobile app?ffsdamm ppl now daysyea quit iti vouch for discord as a alternative,"[0.0, 0.0]","[0.0, 0.828, 0.172]",1
  Already done that. I havent changed my settings and i was almost 3 months on the discord app and now its not working :/,"[-0.25, 1.0]","[0.086, 0.8, 0.114]",2
  Can you try this version of the app and see if the time stamp works correctly? ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",3
 Thank you Discord for making these emojis look so amazing on your app ,"[0.6000000000000001, 0.9]","[0.367, 0.498, 0.135]",3
I believe free roam matchmaking is the way to find HVT groups but also there are some groups on # discord app,"[0.4, 0.8]","[0.091, 0.759, 0.15]",1
" ""Dear. Discord Users","[0.0, 0.0]","[0.0, 0.426, 0.574]",3
" ""Every time people mention the Discord chat app","[0.0, 0.0]","[0.0, 0.722, 0.278]",2
" ""I'm sorry","[-0.5, 1.0]","[0.0, 0.435, 0.565]",1
  you should download  on the app store and join the stream's clan Discord! ,"[0.0, 0.0]","[0.136, 0.679, 0.185]",1
  switch to discord it's free and easy to useand it's free in the App Store,"[0.41111111111111115, 0.8111111111111112]","[0.409, 0.474, 0.116]",2
 The slowness of the PBS app for Apple TV is just like a brand new DISCORD record not playing well on yr turntable.,"[0.13636363636363635, 0.45454545454545453]","[0.091, 0.658, 0.25]",1
 yo if you are dragon age kin and you have the discord chat app then wyd not bein in the kin chat? its all very lovely gettin to talk kin tbh,"[0.65, 0.9750000000000001]","[0.114, 0.81, 0.075]",1
 Softbank's Arora quits over succession discord: advance reading for this morning's  leadership workshop  ,"[0.0, 0.0]","[0.116, 0.71, 0.174]",2
" "" I dont have that app but","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Only if I can use the app Discord,"[0.0, 1.0]","[0.0, 0.69, 0.31]",2
 Wow... I love this Curse app! Prefer it to Discord tbh.,"[0.3625, 0.8]","[0.229, 0.382, 0.389]",3
  Is there a chance to see Discord as an available app on Consoles like the PS4 and Xbox One?,"[0.4, 0.4]","[0.203, 0.676, 0.122]",1
  is there any way to connect winamp with discord without the discord app? Something like a autodj...,"[0.0, 0.0]","[0.12, 0.622, 0.258]",1
  Can you download the beta app? ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
  What Discord are you on? Can you try reinstalling the app and see if that works?,"[0.0, 0.0]","[0.0, 0.831, 0.169]",2
" "" Yeah. Look up """"Discord"""" in you app store. The icon is a little white robot thing that looks like it's from Space Invaders on purple""","[-0.09375, 0.25]","[0.176, 0.824, 0.0]",3
 Discord android app is now available at  repository. ,"[0.4, 0.4]","[0.0, 0.722, 0.278]",2
 Have to say I'm pretty impressed with this discord thing... especially the Android app,"[0.4166666666666667, 1.0]","[0.315, 0.55, 0.135]",2
 Currently working on the discord app,"[0.0, 0.4]","[0.0, 0.649, 0.351]",2
why is she a cute?OST :  Chat:  ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
 I just read the Discord app as Discourse but my Shit brain just accepted it.,"[-0.2, 0.8]","[0.13, 0.539, 0.331]",1
 I'm paranoid this discord app for me to remember for this exam.,"[0.0, 0.0]","[0.0, 0.661, 0.339]",1
  I've been kicked out mid session/server disappears if I full close discord. Used direct invites from within desktop app/browser,"[0.15, 0.3166666666666667]","[0.0, 0.758, 0.242]",1
  //I think it's easier because online tips from the app plus if you worked a bad tip night...,"[-0.6999999999999998, 0.6666666666666666]","[0.131, 0.704, 0.164]",2
  //Yeah. The Starbucks app lets you do it. It's pretty neat,"[0.25, 1.0]","[0.408, 0.592, 0.0]",1
 constantly forget i have the discord app,"[0.0, 0.3333333333333333]","[0.0, 0.465, 0.535]",2
" ""If you're just using it as a chat app","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
 Downloaded Discord app... So sleepy I feel drunk. 45 mins to check in. I can sleep one I'm through Security,"[-0.5, 1.0]","[0.105, 0.659, 0.236]",1
" ""  If you're just using it as a chat app","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
 Discord: TRS Discord - Chat for Gamers by Hammer ; Chisel Inc.,"[0.0, 0.0]","[0.0, 0.597, 0.403]",1
 Discord is a pretty neat app.,"[0.25, 1.0]","[0.569, 0.183, 0.248]",3
" "" It's dumb","[-0.375, 0.5]","[0.0, 0.233, 0.767]",1
Wait Discord has a phone app? I'm so out of the loop.,"[0.0, 0.0]","[0.0, 0.787, 0.213]",2
  THISWe're going to do a whole 16 player discord co-op through this.,"[0.2, 0.4]","[0.0, 0.787, 0.213]",1
Discord app.,"[0.0, 0.0]","[0.0, 0.27, 0.73]",2
  Are servers down because I am unable to connect to Discord app or the website. Thanks ,"[-0.15185185185185185, 0.32962962962962966]","[0.156, 0.699, 0.145]",1
  on ptb? Or official discord app?,"[0.0, 0.0]","[0.0, 0.62, 0.38]",2
 -I made a Discord server for it.  another link to the game we'll be playing: ,"[-0.4, 0.4]","[0.109, 0.727, 0.164]",1
  discord has an app for mobile,"[0.0, 0.0]","[0.0, 0.649, 0.351]",1
 We have integrated Discord into TE! Check it outvia ,"[0.0, 0.0]","[0.0, 0.728, 0.272]",1
" "" My discord app on laptop has stopped working after updating","[0.0, 0.0]","[0.0, 0.635, 0.365]",2
  I purchased your Voice Changer on Cydia.  Great tweak BTW!  Can you add support for the app Discord?,"[1.0, 0.75]","[0.298, 0.588, 0.113]",1
 I uninstalled Discord app from phone,"[0.0, 0.0]","[0.0, 0.597, 0.403]",1
  Pussybitch discord has a mobile app,"[0.0, 0.0]","[0.0, 0.597, 0.403]",1
 Discord doesn't have to be professional to be a really good app ,"[0.39999999999999997, 0.35000000000000003]","[0.214, 0.604, 0.181]",1
  Discord doesn't have to be professional to be a really good app ,"[0.39999999999999997, 0.35000000000000003]","[0.214, 0.604, 0.181]",1
 also my discord app has stopped working phooey,"[0.0, 0.0]","[0.0, 0.566, 0.434]",1
 I can't wait till Discord brings their app to XBL / PSN...,"[0.0, 0.0]","[0.201, 0.799, 0.0]",1
 DISCORD [Kinetic Typography] ,"[0.0, 0.0]","[0.0, 0.368, 0.632]",1
 Apparently I'm one of the 4 people in the world who want a native SailfishOS Discord app.,"[0.05, 0.35]","[0.076, 0.765, 0.159]",1
 when your homemade android app is more stable than discord for linux ,"[0.5, 0.5]","[0.161, 0.647, 0.192]",1
" "" Since last update","[0.0, 0.06666666666666667]","[0.0, 1.0, 0.0]",2
" ""Ever since discord","[0.0, 0.0]","[0.0, 0.426, 0.574]",2
" ""If you don't have  mobile","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
" "" My discord app on desktop works but when I connect to a channel the people in it can hear me but I can't hear them","[0.0, 0.0]","[0.0, 0.919, 0.081]",1
" ""I'm kinda warming up to Discord but forums were way easier to search ; this app desperately needs a """"View from first unread message"""" feature""","[-0.08333333333333333, 0.5777777777777778]","[0.167, 0.653, 0.18]",1
  my computer will not connect to discord at all but it used to I've tried doing it from the app and web browser neither will work,"[0.0, 0.0]","[0.061, 0.939, 0.0]",1
  hello I downloaded the discord app and have the invite code were do I enter it,"[0.0, 0.0]","[0.098, 0.736, 0.166]",1
 discord has a mobile app,"[0.0, 0.0]","[0.0, 0.526, 0.474]",1
" ""i seriously fucking hate skype. discord needs to hurry the fuck up with video chat","[-0.6000000000000001, 0.75]","[0.0, 0.475, 0.525]",1
" ""We had 1 issue with creating a discord channel when creating a new tournament in TE Beta","[0.13636363636363635, 0.45454545454545453]","[0.243, 0.608, 0.149]",2
  my Discord App isnt showing profile pics for me but everyone else can see :( how do i fix this. I've tried uninstaling and re-in,"[-0.75, 1.0]","[0.0, 0.794, 0.206]",1
Why does it take 3 .exe s to run Discord app on a PC?  Thanks thats all. ,"[0.2, 0.2]","[0.165, 0.682, 0.153]",2
" "" Hello Discord! The app version of your service is not working. I try to talk","[0.0, 0.0]","[0.0, 0.813, 0.187]",3
  is discord an app? ill dl it n we can try that too,"[-0.5, 1.0]","[0.0, 0.645, 0.355]",1
  Trying to get the Discord app but the AppStore seems to be down today. Any other way I can connect with the event?,"[-0.14027777777777778, 0.3319444444444445]","[0.0, 0.919, 0.081]",1
 Andres Bautista shrugs off Comelec discord  ,"[0.0, 0.0]","[0.0, 0.649, 0.351]",1
 Guys go for discord App :),"[0.5, 1.0]","[0.309, 0.412, 0.278]",2
" "" so I signed up for discord thru the app","[0.0, 0.0]","[0.0, 0.722, 0.278]",1
 You can simply download this discord app on your phone and we will give you the code to join us helping each other just like how she did :),"[0.125, 0.5773809523809524]","[0.267, 0.648, 0.084]",2
" "" There's a bug atm","[0.0, 0.0]","[0.0, 1.0, 0.0]",3
" ""Yo","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
" ""On a day dominated by  and discord","[0.0, 0.0]","[0.0, 0.649, 0.351]",2
 i made a discord acc finally the app looks cute,"[0.25, 1.0]","[0.256, 0.513, 0.231]",2
" "" Discord is the new Teamspeak basically","[0.13636363636363635, 0.45454545454545453]","[0.0, 0.649, 0.351]",3
" ""OK if I make a chat room in  app","[0.5, 0.5]","[0.328, 0.672, 0.0]",2
" ""  OK if I make a chat room in  app","[0.5, 0.5]","[0.328, 0.672, 0.0]",2
 why does the discord app suck balls,"[0.0, 0.0]","[0.0, 0.472, 0.528]",1
  my discord app won't open i've had my laptop open for a long time and i have started and restarted like a million times no luck,"[-0.016666666666666666, 0.4666666666666666]","[0.187, 0.646, 0.167]",1
" ""  On a day dominated by  and discord","[0.0, 0.0]","[0.0, 0.649, 0.351]",2
 the discord mobile app is actually flawess i love how it freezes my entire phone sometimes and hardly works,"[0.05208333333333333, 0.4666666666666667]","[0.183, 0.652, 0.165]",1
" "" hey","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
 Some guy in Discord chat changed to a Mighty No. 9 avatar. My Discord app just refuses to load it.,"[0.4, 0.9]","[0.0, 0.664, 0.336]",1
 And i never wanted to login to discord... It automaticly logged me in. fucking hate that app already,"[-0.8, 0.9]","[0.0, 0.8, 0.2]",1
  yep - i dont using discord usually - do u recommend to download it or use the internet app?,"[-0.25, 0.25]","[0.367, 0.633, 0.0]",1
" "" When I play a YouTube video on Discord (app) and it crashes/disconnects","[0.0, 0.0]","[0.183, 0.611, 0.206]",1
  wanted to get the word out about the stream tonight.  Do you all have a post like the one that was just on the Discord app,"[0.0, 0.0]","[0.089, 0.816, 0.096]",2
 Download the Discord App and join our official server! ,"[0.0, 0.0]","[0.18, 0.574, 0.245]",1
 Discord app is shit.,"[-0.2, 0.8]","[0.0, 0.241, 0.759]",1
  Download the Discord App and join our official server! ,"[0.0, 0.0]","[0.18, 0.574, 0.245]",1
 Discord is the best app ever: ,"[1.0, 0.3]","[0.385, 0.367, 0.248]",3
  Discord is the best app ever: ,"[1.0, 0.3]","[0.385, 0.367, 0.248]",3
 Discord is a good app 10/10 do reccomend,"[0.7, 0.6000000000000001]","[0.274, 0.472, 0.255]",3
 If you liked the MineChat app then you'll love the new feature we're testing out in the Discord server! ,"[0.4234848484848485, 0.6181818181818182]","[0.281, 0.616, 0.104]",3
 If you want to chat with me go add yourself here at this link on Discord. You can download the app and chat today. ,"[0.0, 0.0]","[0.05, 0.846, 0.104]",1
  If you want to chat with me go add yourself here at this link on Discord. You can download the app and chat today. ,"[0.0, 0.0]","[0.05, 0.846, 0.104]",1
" ""I need a """"did discord die or just me""""app""","[0.0, 0.0]","[0.0, 0.476, 0.524]",1
" ""  You should look in to a new battery for your S5 AND the Discord app for your","[0.13636363636363635, 0.45454545454545453]","[0.0, 0.847, 0.153]",2
  can you send me invite to discord? some reason its different for my app then the website,"[0.0, 0.6]","[0.083, 0.777, 0.14]",2
  are you and maddie going to call in discord because if so i have to download the app because i'm mobilezoned,"[0.0, 0.0]","[0.0, 0.876, 0.124]",1
  Android:  Discord - Chat for Gamers par Hammer ; Chisel Inc.,"[0.0, 0.0]","[0.0, 0.748, 0.252]",1
" "" I'd like to say everyone who works on discord is awesome","[1.0, 1.0]","[0.382, 0.462, 0.156]",1
  please make the Discord app also for Windows Phones.,"[0.0, 0.0]","[0.192, 0.583, 0.225]",3
 Copy and paste the invite to discord app if the browser doesn't work. I've had this problem before.,"[0.0, 0.0]","[0.071, 0.669, 0.26]",2
  Try downloading our beta Android app - ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
" ""  Where are you trying to open discord links? IE","[0.0, 0.5]","[0.0, 0.748, 0.252]",1
Make sure chrome is the default browser for your discord app.Make sense,"[0.5, 0.8888888888888888]","[0.153, 0.667, 0.18]",2
 Yeah that's because they still haven't made a discord app for windows phones and my laptop is dead,"[-0.2, 0.4]","[0.196, 0.615, 0.189]",1
 Just got a new app called Discord :D,"[0.5681818181818181, 0.7272727272727273]","[0.344, 0.426, 0.23]",3
 Youtube  ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
" ""Discord really is the most abysmal","[0.35, 0.35]","[0.0, 0.649, 0.351]",1
" ""  Discord really is the most abysmal","[0.35, 0.35]","[0.0, 0.649, 0.351]",1
" "" Just Discord","[0.0, 0.0]","[0.0, 0.27, 0.73]",2
 My discord app won't work.,"[0.0, 0.0]","[0.0, 0.597, 0.403]",1
  hehe yay ^.^ *hugs back* i wish Twitter can remove this limit ;.&lt; and idk how discord app works ;-;,"[0.0, 0.0]","[0.242, 0.595, 0.163]",2
 how do I operate this discord app,"[0.0, 0.0]","[0.0, 0.615, 0.385]",2
  you should download the discord app on your pc,"[0.0, 0.0]","[0.0, 0.748, 0.252]",1
 I'm wearing my Bluetooth device or my iPad under headset cause I'm using the Discord gaming app shit feels so weird,"[-0.35, 0.9]","[0.0, 0.685, 0.315]",1
" "" Android. I moved to SD","[0.0, 0.0]","[0.0, 1.0, 0.0]",3
" ""Im hosting 8s lobby","[0.0, 0.0]","[0.268, 0.732, 0.0]",2
  I am downloading the discord app you better add me,"[0.5, 0.5]","[0.23, 0.556, 0.214]",1
 Why do I have the discord app on my phone?It just makes my life more annoying,"[-0.15000000000000002, 0.7]","[0.0, 0.695, 0.305]",1
  What about the discord app? Does it crashes your pc also ?,"[0.0, 0.0]","[0.0, 0.766, 0.234]",2
 I'm paranoid this discord app for my other account,"[-0.125, 0.375]","[0.0, 0.577, 0.423]",1
" "" Oh gosh no ;W&lt; No","[0.0, 0.0]","[0.0, 0.405, 0.595]",2
  I can not use the Discord app any more. My sight is such that I need bigger fonts but Discord won't allow changes in any form :(,"[-0.0625, 0.625]","[0.144, 0.67, 0.186]",1
  is there any chance you can use desktop discord ? its just a webapp . only cause the app's voice chat barely works :'s,"[0.025, 0.55]","[0.084, 0.802, 0.114]",1
 Is discord a web browser or app thing,"[0.0, 0.0]","[0.0, 0.69, 0.31]",2
 App needs serious work...I apparently lost 500 friends... ,"[-0.14166666666666666, 0.5083333333333333]","[0.0, 0.625, 0.375]",1
" "" Every web-based """"app"""" has the same """"issue""""","[0.0, 0.125]","[0.0, 1.0, 0.0]",3
" ""I posted this to the Discord App holding my Discord","[0.0, 0.0]","[0.0, 0.597, 0.403]",1
  can not hear audio on my macbook air when people are taking in the discord app,"[0.0, 0.0]","[0.0, 0.847, 0.153]",1
